Conc_Fe(%),Conc_SiO2(%),Conc_Al2O3(%),Conc_LOI(%),Conc45_micron(%),Blane_No_cm2_g,CRM_dust_kg_t,ESP_DUST_kg_t,SMS_sludge_DRY_kg_t,Green_Pellet_Moisture(%),Green_Pellet_GCS_kg,Green_Pellet_Drop_No.,FEED_RATE_tph,MACHINE_SPEED_m_min,FIRING_TEMP_C,BURNTHRU_TEMP_C,DR_Main_temp_C,UDD_FAN_PRESSURE_mmWC,UDD_FAN_TEMP_C,WBR_PRESURE_mmWC,WBR_FAN_TEMP_C,CA_PRESSURE_mmWC,2nd_cooling_zone_pressure_mmWC,2nd_cooling_zone_temp_C,Pellet_CCS_Kg_p,TI,AI
59.68,7.76,2.41,3.34,62.25,1483.33,3.67,1.86,8.57,10.23,1.02,14.46,597.58,2.95,1296.36,349.72,853.02,347.41,224.79,-408.91,167.91,508.43,-88.22,116.38,252,92.58,5.82
60.22,6.17,2.7,3.54,62.77,1680,3.33,4.54,7.87,10.34,1.02,14.83,605.9,2.99,1306.34,346.04,852.32,344.9,223.75,-398.18,171.58,485.34,-88.92,118.06,256,92.2,5.93
60.74,5.43,2.75,3.55,63.08,1780,3.74,1.54,8.44,10.46,1.03,18.08,608.75,3,1306.85,332.92,849.49,350.08,222.46,-408.96,166.65,488.08,-89.73,120.09,247,91.78,6.31
60.85,6.5,2.37,2.9,61.1,1540,0,0.88,8.38,10.12,1.03,13.54,617.7,2.97,1294.69,353.96,850.75,341.05,229.26,-394.81,176.09,498.52,-88.82,119.67,256,92.11,6.11
59.99,7.66,2.61,2.92,62.15,1668.33,2.17,5.79,8.23,10.26,1.04,15.75,618.97,3.02,1296.75,345.59,849.83,349.23,228.24,-399.6,170.17,492.74,-88.94,117.36,254,91.8,6.4
60.21,7.36,2.51,2.74,62.06,1731.67,1.62,6.57,7.48,10.2,1.03,13.67,575.32,2.83,1304.7,374.49,845.25,328.47,226.29,-359.53,183.54,462.69,-88.82,115.78,260,92.22,6.16
60.23,7.69,2.43,2.69,62.26,1651.67,3.33,5.48,8.58,10.25,1.04,12.29,597.19,2.9,1309.28,349.3,854.92,334.01,234.68,-384.84,175.59,485.92,-89.73,126.29,262,93,5.53
60.27,6.98,2.46,3.17,57.65,1618.33,5.8,3.71,7.58,10.28,1.03,11.96,555.24,2.82,1305.16,359.14,852.97,322.67,227.79,-360.65,172.64,468.54,-86.88,118.34,264,92.2,6.38
59.42,6.98,2.85,3.71,61.33,1668.33,3.69,2.01,8.44,10.47,1.03,17.92,609.97,3.03,1305.55,348.62,841.79,333.9,224.43,-384.02,166.59,465.42,-88.71,116.01,252,91.84,6.42
59.61,7.46,2.69,3.27,60.44,1576.67,3.76,2.48,8.36,10.34,1.02,13.67,613.33,3.03,1298.54,350.96,847.92,341.67,232.08,-397.86,170.53,493.23,-89.78,121.56,260,92.02,6.51
59.08,7.64,2.7,3.34,62.88,1698.33,3.39,1.03,8.43,10.37,1.02,14.42,609.97,3.03,1301.23,334.42,827.07,331.13,216.56,-401.29,165.27,478.38,-89.35,115.27,256,91.8,6.47
59.69,7.61,2.49,2.66,60.34,1600,3.43,0.57,8.42,10.39,1.03,12.21,619.28,3.03,1312.97,344.43,863.39,338.67,236.78,-398.66,169.55,500.75,-88.87,131.24,256,91.24,7.2
60.22,6.62,2.78,3.19,60.55,1536.67,2.5,0.67,8.49,10.3,1.03,14.38,594.76,3,1302.75,357.5,853.13,340.05,228.04,-378.27,171.73,478.65,-91.01,120.65,253,91.69,6.69
60.17,6.81,2.83,3.13,61.78,1630,7.43,5.38,8.5,10.39,1.03,13.79,603.61,2.97,1297.98,346.66,858.01,332.76,222.19,-391.03,167.9,480.59,-89.64,115.58,258,92.31,6.2
60.2,7.34,2.58,2.91,59.92,1511.67,5.59,2.73,8.15,10.26,1.04,13.79,626.07,3,1300.53,332.29,858.95,351.08,235.64,-414.49,163.33,528.59,-89.54,125.13,252,91.78,6.56
59.84,7.86,2.71,2.73,60.33,1615,2.49,0.49,8.29,10.13,1.02,15.04,618.98,3,1296.93,342.82,860.25,331.87,235.24,-399.85,167.34,510.15,-90.48,125.82,253,91.98,6.36
59.83,7.78,2.85,2.86,62.39,1708.33,3.27,2.84,8.39,10.14,1.03,18.38,607.24,2.94,1289.98,364.72,864.2,326.11,234.9,-390.59,174.37,496.4,-81.15,123.15,248,92.64,5.6
59.65,7.88,2.79,2.92,62.68,1826.67,2.98,3.09,8.42,10.27,1.04,15.08,610.09,3.01,1302.82,346.69,847.65,341.8,221.68,-408.25,164.85,497.74,-91.1,115.88,255,92.6,5.71
60.65,6.49,2.7,3.05,59.85,1746.67,2.12,5.71,8.29,10.34,1.04,14.13,618.74,3.02,1310.28,333.39,864.14,342.7,223.2,-405.86,167.08,499.51,-88.35,125.83,247,91.47,6.76
60.5,6.68,2.64,3.03,60.99,1766.67,2.96,3.81,6.85,10.27,1.03,17.71,620.67,3,1304.18,334.24,866.06,345.01,221.3,-405.22,169.98,495.54,-89.17,119.17,246.67,91.64,6.53
60.71,6.4,2.62,3.09,58.79,1601.67,3.44,2.4,8.49,10.27,1.03,12,606.58,3.01,1299.3,348.3,863.95,343.42,231.31,-401.17,167.25,501.14,-88.65,124.54,252.33,92.13,6.31
60.48,6.43,2.71,3.28,62.63,1743.33,2.83,4.7,7.72,10.36,1.03,14.29,607.87,2.94,1297.92,367.83,869.9,355.73,231.51,-392.18,175.78,503.91,-89.72,123.45,252,92.2,6.13
60.47,6.46,2.56,3.22,62.32,1748.33,2.8,4.06,8.42,10.23,1.03,12,607.01,2.94,1296.73,346.98,852.88,340.04,232.76,-402.83,167.6,509.98,-89.25,126.11,253.67,92.33,6.11
60.57,6.2,2.78,3.23,61.34,1716.67,2.89,0.26,8.42,10.15,1.01,13.71,605.09,2.92,1303.58,348.07,869.19,356.15,232.22,-412.84,166.08,528.74,-89.67,125.55,252.5,92.62,5.62
61.02,5.74,2.66,3.21,59.67,1651.67,3.28,3.05,8.33,10.12,1.03,12.25,609.84,2.93,1302.03,350.27,860.28,352.19,235,-419.11,171.94,524.29,-86.23,127.19,250.83,92.31,6.18
60.67,5.93,2.69,3.36,59.64,1600,2.73,5.75,8.54,10.09,1.03,11.21,610.73,2.96,1294.26,365.42,869.04,355.07,240.79,-394.5,179.22,505.17,-87.26,133.7,252.33,92.42,5.89
61.09,5.66,2.66,3.18,57.57,1501.67,0,0.27,8.31,10.08,1.02,12.54,615.24,2.98,1287.48,371.8,874.41,356.23,243.05,-396.25,179.03,514.21,-88.34,134.55,252.17,92.04,6.29
61.36,5.31,2.74,3.06,58.12,1613.33,0,0,6.96,9.97,1.03,12.58,604.7,2.91,1289.81,363.33,857.2,346.58,226.92,-390.81,179.04,502.3,-88.93,121.85,256,92.24,6.36
61.3,5.5,2.59,3.14,58.92,1731.67,0,0.2,8.42,9.94,1.01,12.33,604.85,2.89,1306.35,353.13,856.68,335.72,221.74,-390.41,173.67,497.4,-88.46,119.37,249.17,91.89,6.56
61.28,5.92,2.57,2.93,57.33,1541.67,2.03,0.64,8.29,10.06,1.02,10.29,613.96,2.96,1305.83,328.79,877.94,346.08,237.74,-410.17,167.7,513.85,-88.29,137.61,255.5,91.24,7.09
61.29,5.41,2.77,3.16,61.22,1721.67,3.02,1.97,8.19,10.16,1.04,14.13,620.09,3.02,1305.45,344.26,878.87,350.52,233.02,-399.79,167.63,500.3,-89.17,133.36,250.17,91.67,6.69
60.95,5.69,2.93,3.18,62.11,1730,6.14,2.47,8.35,10.18,1.02,16.04,614.28,3,1287.85,353.02,866.21,349.97,232.46,-389.56,174.13,495.09,-88.46,128.78,245.33,92.42,5.98
61.25,5.22,2.88,3.39,61.33,1601.67,6.5,4.78,6.91,10.25,1.04,15.38,611.85,3.01,1290.53,342.68,858.99,350,225.29,-397.12,167.65,495.14,-89.66,125.47,248.83,92.76,5.58
59.99,5.83,3.13,3.8,60.43,1656.67,3.6,2.4,8.16,10.37,1.03,16.08,598.87,2.98,1290.09,336.08,844.11,341.27,218.64,-392.81,169.66,474.34,-88.72,123.71,243.5,92.44,5.76
59.82,6.12,2.98,4.04,62.24,1850,7.56,4.11,9.64,10.65,1.03,23.17,535.72,2.77,1272.68,374.89,819.64,318.98,197.47,-338.14,179.71,430.47,-86.54,107.69,247,93.18,5.13
60.45,4.92,2.98,4.29,61.62,1706.67,6.23,2.98,10.27,10.56,1.02,23.29,520.35,2.66,1276.58,364.49,771.58,306.63,178.76,-342.52,182.06,426.45,-87.59,95.08,235.17,92.29,5.93
60.55,5.03,2.97,3.98,58.78,1686.67,2.46,6.94,8.79,10.54,1.02,20.58,589.73,2.87,1305.17,351.3,848.04,343.86,211.44,-389.16,173.85,483.68,-88.99,112.43,245.5,92.24,6
61.15,4.55,2.9,3.78,58.2,1600,1.67,0.89,8.66,10.35,1.03,13.75,605.69,2.96,1303.5,336.87,868.84,350.25,224.66,-403.47,169.74,511.4,-89.56,125.46,243,91.31,7
60.98,4.59,2.79,3.82,58.09,1646.67,1.69,3.08,6.53,10.38,1.01,13.17,591.13,2.9,1299.73,356.3,860.84,333.28,216.4,-372.06,173.79,477.04,-87.76,114.94,247.83,92.09,6.27
60.92,4.66,2.89,3.91,58.62,1745,1.76,0.93,5,10.54,1.05,13.79,604.85,3,1305.1,350.8,864.79,342.95,218.79,-390.47,171.48,488.57,-88.1,116.35,245.5,90.89,7.29
60.94,4.83,2.78,3.73,57.21,1641.67,2.35,4.49,4.25,10.31,1.02,14.88,605.33,3,1293.21,347.69,866.5,348.89,226.84,-397.23,169.67,501.2,-89.14,123.04,246.5,91.89,6.53
60.46,5.41,2.78,3.53,60.33,1775,2.4,5.41,6.4,10.43,1.03,17.75,541.31,2.72,1287.26,374.14,811.95,305.53,187.14,-337.71,180.12,442.48,-83.8,94.51,259.17,92.09,6.27
60.47,5.63,2.82,3.54,59.89,1638.33,1.85,0.35,5.56,10.46,1.02,18.25,540.25,2.69,1294.55,376.67,823.88,318.13,194.86,-350.18,182.27,458.08,-88.39,97.93,265.33,92.96,5.76
60.79,4.62,2.81,4,57.13,1533,1.62,3.08,5.24,10.46,1.02,14.33,578.93,2.86,1296.89,354.98,843.38,331.08,218.41,-384.23,176.16,468.47,-88.59,122.61,252.67,91.98,6.47
60.4,5.12,2.94,4,59.91,1670,2.11,0.83,5.91,10.55,1.03,16.08,584.49,2.95,1291.85,365.58,870.94,341.26,216.01,-367.04,179.8,465.55,-88.78,117.34,237,93.11,5.44
60.27,5.71,2.73,3.8,59.26,1588.33,2.3,0.34,5,10.41,1.03,13.93,604.56,3.04,1274.7,347.61,871.21,346.68,225.94,-377.58,176.49,486.69,-88.53,131.85,232.83,92.84,5.64
59.88,4.93,3.14,4.54,55.25,1536.67,1.68,4.31,5.66,10.59,1.03,12.33,598.86,3.02,1296.48,315,848.86,346.89,214.63,-409.08,163.76,499.07,-89.91,121.85,240.67,91.64,6.89
60.46,4.29,3.19,4.47,58.84,1605,2.84,7.42,5.91,10.67,1.03,15.67,600.46,2.98,1293.02,320.22,850.07,348.7,205.26,-399.05,166.42,488.42,-88.29,111.44,236,91.7,6.43
60.49,4.41,2.99,4.38,61.2,1637.5,1.93,2.28,5.96,10.5,1.03,17.93,471.72,2.62,1281.47,365.65,773.75,281.03,181.56,-320.09,178.75,397.32,-83.62,101.76,241,91.58,6.69
60.8,4.54,2.85,4.04,57.05,1515,2.35,0.16,4.51,10.27,1.01,13.54,549.12,2.86,1292.65,339.77,842.49,330.43,218.55,-390.17,173.16,468.52,-88.11,124.11,240.5,92.07,6.24
60.44,4.93,2.91,4.03,57.5,1518.33,2.51,3.2,4.81,10.58,1.03,15.96,538.92,2.84,1285.61,349.53,831.41,311.98,206.1,-361.57,177.35,451.61,-86.11,116.4,245.17,91.4,6.91
60.19,4.91,3.32,4.28,59.98,1803.33,3.26,4.92,6.07,10.58,1.02,16.63,560.9,2.94,1294.38,308.4,846.13,333.79,193.45,-391.31,160.79,466.11,-89.99,106.48,246,91.53,6.64
60.71,4.12,3.22,4.38,57.46,1598.33,2.27,7.5,6.18,10.57,1.03,15.46,564.92,2.88,1297.3,303.52,845.58,346.49,197.11,-421.45,162.9,486.92,-92.48,110.85,242.83,90.73,7.31
60.81,4.11,3.25,4.35,58.97,1561.67,1.32,7.84,6.16,10.53,1.02,16.13,574.39,2.95,1294.52,307.35,854.05,337.32,206.4,-402.33,163.24,469.58,-93.2,114.64,237.17,90.4,7.33
60.88,4.18,3.39,4.25,60.11,1835,1.79,8.8,6.75,10.56,1.04,17.17,578.02,2.9,1300.89,320.96,845.52,333.01,211.66,-400.71,165.61,441.87,-92.08,122.3,239.67,90.29,7.47
60.05,5.61,3.34,4.24,59.01,1690,3.05,8.47,5.94,10.82,1.04,20.92,591.16,3,1313.8,325.87,848.77,337.72,223.21,-401.55,165.03,444.73,-92.87,126.37,243.33,90.98,6.62
60.3,5.68,3.17,4.03,59.3,1635,3.12,9.31,6.72,10.72,1.02,19.42,587.6,3.01,1305.58,313.87,850.94,339.26,229.56,-396.26,162.53,439.78,-93.44,132.09,237.5,91.07,7
60.41,5.09,3.36,4.31,57.77,1600,3.53,11.37,6.68,10.79,1.03,18.13,576.49,2.98,1298.76,320.19,839.03,334.79,188.43,-399.02,145.28,466.61,-81.45,110.44,244,91.16,7.11
60.11,5.62,3.34,4.3,57.18,1703.33,3.13,6.12,6.75,10.8,1.04,21.79,581.13,2.89,1299.48,339.65,857.51,344.18,217.81,-402.16,166.08,463.57,-93.08,121.37,248.67,91.87,6.36
60.17,6.24,3.24,3.78,58.52,1625,2.66,4.78,6.68,10.63,1.05,15.38,599.72,3,1302.76,309.3,855.21,351.23,216.64,-416.93,160.85,490.71,-93.44,124.12,240.33,92.33,6.13
60.04,6.12,3.4,3.89,61.66,1723.33,2.73,2.83,6.15,10.97,1.09,19.13,586.11,2.87,1296.82,335.98,825.48,344.3,188.44,-395.9,173.59,480.16,-90.55,100.57,242.17,91.73,6.13
60.35,5.65,3.45,3.88,59.89,1648.33,1.33,10.73,5.75,10.89,1.06,21.38,612.07,3.01,1294.45,330.38,847.32,343.28,202.45,-394.49,170.69,477.18,-88.39,109.74,238,91.89,6.04
60.98,4.84,3.4,3.88,57.03,1428.33,1.77,6.64,5.65,10.76,1.06,20.83,618.49,3,1300.74,328.4,869.59,343.27,220.59,-407.43,165.42,494.32,-89.91,122.66,245,91,6.98
61.09,4.72,3.43,3.94,60.12,1701.67,3.15,12.43,5.66,10.87,1.04,20.46,612.24,3,1295.73,336.3,864.64,336.75,219.36,-392.94,168.12,474.78,-88.36,118.01,243.67,91.47,6.47
60.34,5.54,3.59,3.88,61.24,1673.33,1.3,7.99,6.52,10.83,1.08,23.17,592.34,3,1290.83,346.05,834.64,329.88,201.82,-378.02,171.29,464.49,-88.89,107.87,243.5,91.98,6.04
60.21,5.87,3.48,3.86,62.99,1796.67,1.71,11.69,5.9,11.38,1.09,26.21,593.41,2.95,1292.27,330.12,842.37,328.93,206.51,-389.11,170.28,464.72,-88.44,116.43,241,91.2,6.76
60,5.99,3.38,4,68.14,1900,4.59,12.43,7.93,10.8,1.08,27.17,422.75,2.44,1220.24,367.18,651.46,257.22,141.03,-290.75,181.75,330.42,-69.76,81.48,241,90.4,7.67
60.37,5.66,3.37,3.78,63.44,1871.67,1,10.31,5.99,11.09,1.09,26.92,520.47,2.7,1280.45,352.01,807.12,303.61,188.36,-333,182.51,428.22,-86.75,107.68,247.67,92.67,5.36
60.83,5.48,3.32,3.42,60.89,1778.33,3.42,10.29,5.84,10.99,1.05,26.71,593.77,2.98,1295.57,324.05,872.29,350.47,216.24,-391.65,171.95,490.81,-88.25,126.09,246.33,92.36,5.82
59.97,6.28,3.37,3.5,62.81,1950,3.56,11.18,6.99,11.33,1.06,25.33,559.93,2.83,1285.74,327.84,810.6,327.13,188.16,-392.74,168.38,465.69,-89.3,104.32,256.17,92.82,5.36
59.64,6.08,3.54,3.89,62.09,1928.33,2.47,13.94,6.6,11.39,1.08,25.25,526.92,2.74,1289.89,341.17,804.78,309.69,183.01,-363.53,172.16,427.71,-86.93,104.1,246.33,92.73,5.42
59.49,6.1,3.56,3.97,63.86,1945,4.07,6,5.26,11.57,1.05,26.25,584.17,2.9,1294.13,313.7,805.46,334.48,187.03,-401.95,163.59,458.77,-90.03,106.11,230.83,92.38,5.73
59.39,6.62,3.41,3.78,59.99,1710,3.64,2.72,6.58,11.43,1.06,26.38,604.1,3.02,1298.94,304.97,858.66,353.03,212.26,-404.15,161.76,479.29,-92.23,125.48,243.17,91.73,6.42
60.12,5.41,3.56,3.92,61.36,1788.33,2.36,7.87,6.42,11.24,1.04,25.67,559.17,2.84,1290.38,318.46,827.89,334.05,191.43,-384.83,167.12,449.81,-91.56,112.22,251,92.13,6.2
59.58,4.81,3.87,4.58,63.57,1960,4.02,0.63,5.3,11.2,1.11,28.08,586.78,2.98,1298.92,303.67,837.18,348.84,187.46,-403.44,155.71,460.34,-93.1,104.9,242.54,92.11,5.87
60.42,4.21,3.84,4.21,58.85,1683.33,2.62,0.13,6.56,11.68,1.09,26.96,602.48,3.02,1293.51,306.4,861.04,352.33,207.09,-405.17,157.7,495.17,-90.94,118.24,242.17,91.42,6.87
60.39,4.27,3.9,4.32,61.6,1848.33,2.6,4.77,6.58,11.52,1.07,28.17,599.89,3.04,1298.87,304.58,857.5,349.57,204.73,-406.26,159.57,471.33,-88.33,113.68,234,91.93,5.87
60.69,4.1,3.87,4.24,59.51,1706.67,2.45,9.39,5.9,11.59,1.07,25.33,593.33,2.93,1297.08,301.06,851.17,342.49,210.27,-413.42,159.53,489.99,-85.33,120.49,241,91.4,6.64
60.26,4.8,3.78,4.17,62.61,1761.67,0.71,7.04,6.64,11.5,1.14,25.88,598.89,3,1299.44,300.55,861.43,342.72,212.78,-411.76,156.77,477.16,-87.27,119.94,238.17,91.09,6.6
61.01,4.81,3.38,3.69,60.97,1818.33,0.43,0.34,6.58,11.34,1.12,27.33,606.62,2.98,1301.34,307.62,870.59,349.91,216.89,-395.4,164.85,475.95,-94,127,244.17,91.51,6.47
61.18,4.71,3.31,3.64,61.04,1695,1.62,8.19,6.58,10.91,1.07,27.75,597.21,2.93,1287.7,315.52,866.96,344.34,216.1,-394.86,167.28,480.42,-88.91,126.68,236.5,91.6,6.27
60.72,5.27,3.46,3.55,60.27,1643.33,3.17,7.56,6.41,11.31,1.11,26.29,604.52,2.98,1291.7,318.86,872.51,352.01,218.13,-409.14,162.25,502.92,-89.73,123.72,243.33,92.22,5.6
60.33,5.44,3.59,3.74,58.44,1706.67,2.38,4.89,6.53,11.33,1.09,23.46,607.02,2.98,1280.94,301.43,852.91,341.43,215.95,-407.28,157.66,502.45,-88.25,120.47,241,92.47,5.73
60.04,5.53,3.68,3.97,60.54,1678.73,4.56,3.54,5.76,11.23,1.1,27.75,596.95,2.98,1300.08,301.65,863.82,344.91,215.51,-398.71,160.9,492.1,-88.63,122.07,241.17,92.04,5.91
60.92,4.84,3.56,3.64,59.11,1601.67,2.61,2.49,6.67,11.17,1.1,18.58,590.04,2.93,1296.75,318.69,880.12,337.1,223.45,-401.19,165.68,497.62,-88.84,125.28,245.17,91.62,6.13
61.14,5.15,3.39,3.26,59.99,1555,2.4,7.28,6.41,10.87,1.11,16.75,610.96,2.95,1299.05,324.5,876.77,345.62,222.05,-404.65,165.65,510.78,-89.53,127.51,240,92.09,6.02
61.37,5.17,3.19,3.15,59.34,1573.33,1.7,6.65,6.4,10.46,1.07,12.96,612.21,2.92,1298.42,334.55,891.73,345.19,228.82,-399.77,169.71,512.23,-87.95,136.75,247.67,92.47,5.73
61.48,5.32,3.06,2.93,59.78,1548.33,2.26,0.17,6.33,10.56,1.05,11.71,611.89,2.95,1285.99,326.05,900.75,349.26,238.94,-403.78,167.74,520.58,-89.18,149.82,245.17,91.78,6.47
61.34,5.79,2.95,2.77,63.39,1713.33,0,0.04,6.13,10.45,1.1,13.38,625.44,2.95,1284.09,328.15,905.38,351.99,239.02,-397.34,167.51,506.47,-89.39,149.03,245,92.89,5.36
60.59,6.25,3.32,2.91,63.53,1856.67,3.62,0.28,6.11,10.31,1.05,17.71,617.67,2.9,1290.12,329.77,858.31,338.82,216.38,-389.77,169.47,489.92,-88.95,124.81,243,93.02,5.29
60.33,6.41,3.27,3.02,60.8,1768.33,3.86,10.11,5.48,10.3,1.07,21.92,616.19,2.88,1293.66,306.99,855.34,343.35,209.53,-405.02,165.49,494.97,-92.77,122.13,251,92.56,5.73
60.98,5.69,3.18,3.06,62.46,1581.67,3.97,7.41,6.31,10.28,1.1,20.17,611.32,2.88,1294.53,320.42,869.45,342.15,215.61,-390.99,171.43,497.1,-89.1,134.04,255.67,92.4,6.04
60.95,5.63,3.14,3.07,64.92,1638.33,2.23,5.78,6.21,10.36,1.07,22.21,622.47,2.91,1285.71,326.35,855.09,336.14,218.48,-395.41,167.9,495.06,-88.97,130.98,249.67,92.4,5.96
61.51,5.46,3.01,2.78,60.61,1538.33,3.29,3.23,6.21,10.13,1.09,11.33,619.01,2.85,1299.21,326.71,869.52,333.48,220.6,-404.71,171.99,504.29,-89.87,140.11,256,92.22,5.98
61.04,5.8,3.23,2.93,61.7,1625,3.29,3.79,6.13,10.23,1.06,17.88,620.22,2.89,1291.94,322.52,869.54,334.19,222.58,-396.52,167.89,490.92,-88.43,137.37,250.33,92.04,6.29
60.46,6.05,3.37,3.26,66.3,1905,4.39,7.64,4.05,10.33,1.07,23.17,624.82,3.03,1289.77,306.6,864.01,341.43,211.32,-396.8,164.88,470.16,-89.43,121.24,242.5,92.71,5.45
60.31,6.13,3.46,3.25,63.67,1866.67,3.4,0.1,6.28,10.74,1.07,25.13,611.51,2.94,1287.65,315.96,839.72,328.49,205.8,-389.72,169.99,473.22,-88.81,122.9,233.83,92.51,5.51
60.86,6,3.13,3,63.69,1658.33,3.63,1.1,6.2,10.19,1.05,14.83,618.75,2.93,1288.12,323.49,857.83,338.62,222.8,-397.79,168.49,500.55,-89.56,132.78,249.5,92.58,5.71
60.39,6.39,3.24,3,63.11,1713.33,4.83,1.76,5.48,10.18,1.09,20.08,621.52,2.92,1297.62,321.52,854.65,333.86,220.77,-391.86,165.89,487.87,-89.38,128.83,251,92.73,5.44
59.58,7.2,3.38,3.2,63.9,1785,2.43,0.63,6.15,10.36,1.06,22.96,618.82,2.96,1291.23,312.5,843.92,330.35,208.8,-383.52,168.36,469.39,-89.04,122.93,245.17,92.76,5.62
60.16,6.57,3.24,3.14,61.49,1758.33,0.4,0.44,6.08,10.44,1.08,22.71,619.46,2.97,1283.01,312.18,848.52,337.9,214.7,-393.19,164.68,485.5,-89.92,123.68,246.5,91.82,6.42
60.01,6.08,3.48,3.47,64.55,1891.67,2.87,0.42,6.23,10.41,1.05,22.71,609.06,2.97,1288.58,308.91,829.74,328.65,207.9,-386.82,166.36,456.41,-89.13,121.13,235.83,92.4,5.8
59.03,7.21,3.64,3.49,64.22,1900,2.79,9.82,6.33,10.64,1.11,24.08,597.47,2.95,1287.07,308.95,815.5,329.46,197.45,-389.58,175.69,466.78,-89.89,108.53,234.5,92.91,5.36
59.06,7.4,3.57,3.38,63.91,1865,3.77,0.12,12.42,10.32,1.11,24.42,492.23,2.64,1236.51,343.68,742.12,275.57,174.87,-323.02,180.31,393.68,-84.59,100.76,244.5,93,5.43
58.89,7.44,3.35,3.54,64.09,1955,1.49,0.38,6.26,10.2,1.05,22.38,357.31,2.25,1250.42,389.36,755.19,207.18,153.18,-223.64,192.83,315.53,-79.25,82.42,269.67,94.47,4.71
59.5,6.6,2.97,3.75,65.38,1955,0.42,0.43,0,10.2,1.05,24.42,358.04,2.22,1217.96,381.38,750.31,202.14,151.46,-230.48,186.11,294.27,-79.09,83.73,285.83,94.47,4.71
59.5,6.6,2.97,3.75,65.38,1955,4.83,0.35,0,10.2,1.05,26.5,340.47,2.12,1202.8,372.19,730.39,180.32,170.58,-212.01,169.46,216.67,-69.91,94.81,285.83,94.47,4.71
59.5,6.6,2.97,3.75,65.38,1955,4.01,5.83,0,10.2,1.05,17.42,308.42,2.01,1163.01,387.57,690.85,169.16,161.51,-177.58,183.24,173.06,-75.32,93.81,285.83,94.47,4.71
59.5,6.6,2.97,3.75,65.38,1955,4.01,5.83,0,10.2,1.05,17.42,308.42,2.01,1163.01,387.57,690.85,169.16,161.51,-177.58,183.24,173.06,-75.32,93.81,285.83,94.47,4.71
59.5,6.6,2.97,3.75,65.38,1955,2.78,6.73,0,10.2,1.05,22.13,299.71,2.06,1080.44,373.58,611.82,140.75,150.08,-207.88,173.14,194.54,-78.32,91.51,285.83,94.47,4.71
58.39,6.39,3.65,4.5,67.94,1630,0,2.94,0,10.2,1.05,27.44,306.48,2.15,1154.8,376.9,680.86,160.74,196.02,-190.12,185.64,161.67,-79.98,124.74,277,94.47,4.71
58.39,6.39,3.65,4.5,67.94,1630,0,2.94,0,10.2,1.05,27.44,306.48,2.15,1154.8,376.9,680.86,160.74,196.02,-190.12,185.64,161.67,-79.98,124.74,277,94.47,4.71
58.39,6.39,3.65,4.5,67.94,1630,0,2.94,0,10.2,1.05,27.44,306.48,2.15,1154.8,376.9,680.86,160.74,196.02,-190.12,185.64,161.67,-79.98,124.74,277,94.47,4.71
58.39,6.39,3.65,4.5,67.94,1630,0,2.94,0,10.2,1.05,27.44,306.48,2.15,1154.8,376.9,680.86,160.74,196.02,-190.12,185.64,161.67,-79.98,124.74,277,94.47,4.71
58.39,6.39,3.65,4.5,67.94,1630,0,2.94,0,10.2,1.05,27.44,306.48,2.15,1154.8,376.9,680.86,160.74,196.02,-190.12,185.64,161.67,-79.98,124.74,277,94.47,4.71
58.39,6.39,3.65,4.5,67.94,1630,0,2.94,0,10.2,1.05,27.44,306.48,2.15,1154.8,376.9,680.86,160.74,196.02,-190.12,185.64,161.67,-79.98,124.74,277,94.47,4.71
58.03,7.24,3.8,4.27,72.67,1630,6.22,2.94,0,10.2,1.05,27.34,289.37,2.09,1226.94,409.4,706.88,177.74,162.02,-184.54,199.84,210.8,-68.7,98.24,263,94.47,4.71
58.01,7.83,4.13,3.95,68.33,1930,7.46,10.88,0,10.2,1.05,24.33,336.89,2.17,1248.53,392.2,756.73,200.26,191.94,-218.01,196.58,240.89,-78.97,117.84,265,94.47,4.71
59.04,7.28,3.74,3.56,62.52,1930,5.08,9.24,0,10.2,1.05,22.08,303.87,2.05,1235.73,394.63,743.05,175.71,180.69,-178.27,200.5,214.55,-78.55,114.36,249,94.47,4.71
59.3,6.16,4.06,4.13,59.68,1930,3.23,7.65,0,10.2,1.05,31,308.75,2.11,1243.25,409.07,736.84,179.22,182.01,-193.27,206.02,227.94,-79.56,106.27,255,94.47,4.71
60.19,6.13,3.75,3.37,59.72,1930,0.75,4.84,0,10.2,1.05,25.29,303.16,2.07,1241.45,421.25,741.17,175.23,188.36,-187.28,217.11,218.97,-79.19,116.29,258,94.47,4.71
60.93,6.09,3.32,2.89,62.21,1930,2.94,7.68,0,10.2,1.05,17.71,311.38,2.05,1263.19,414.63,794.68,183.34,198.74,-177.96,220.76,230.64,-79.65,128.45,269,94.47,4.71
61.35,5.8,3.17,2.8,60.07,1930,4.91,12.32,0,10.2,1.05,20.63,309.83,2.05,1253.03,418.08,795.63,181.33,184.36,-170.57,229.4,242.28,-79.47,111.88,279,94.47,4.71
61.29,6.29,3.18,2.42,59.27,1930,4.89,7,0,10.2,1.05,20.75,307.69,2.05,1260.92,401.93,798.95,176.38,194.15,-158.07,225.47,228.73,-79.56,111.56,295,94.47,4.71
61.18,6.44,3.18,2.48,58.45,1930,3.74,0.32,0,10.2,1.05,19.17,325.75,2.12,1242.68,387.57,802.94,178.48,204.44,-163.66,208.88,229.47,-78.84,115.23,303,94.47,4.71
