Conc_Fe(%),Conc_SiO2(%),Conc_Al2O3(%),Conc_LOI(%),Conc45_micron(%),Blane_No_cm2_g,CRM_dust_kg_t,ESP_DUST_kg_t,SMS_sludge_DRY_kg_t,Green_Pellet_Moisture(%),Green_Pellet_GCS_kg,Green_Pellet_Drop_No.,FEED_RATE_tph,MACHINE_SPEED_m_min,FIRING_TEMP_C,BURNTHRU_TEMP_C,DR_Main_temp_C,UDD_FAN_PRESSURE_mmWC,UDD_FAN_TEMP_C,WBR_PRESURE_mmWC,WBR_FAN_TEMP_C,CA_PRESSURE_mmWC,2nd_cooling_zone_pressure_mmWC,2nd_cooling_zone_temp_C,Pellet_CCS_Kg_p,TI,AI
61.99,3.89,3.36,3.57,67.88,1758.33,2.5,13.76,2.07,10.39,1.02,12.5,607,3.03,1283,303,895,311,243,-387,162,470,-83.67,134,247.33,90.49,7.6
61.93,4.31,3.44,3.17,65.76,1703.33,4.4,2.32,2.05,10.16,1.03,10.5,616,2.99,1284,298,891,311,253,-414,159,513,-81.6,143,249.67,91.07,7.13
60.77,5.6,3.63,3.39,68.46,1858.33,5.52,4.67,2.03,10.14,1.05,14.04,615,3.04,1298,294,889,313,242,-400,160,485,-83.69,132,249.5,91.27,7.24
61.43,4.79,3.55,3.31,67.95,1646.67,4.88,4.22,2.04,10.1,1.04,13.42,616,3.05,1291,307,887,309,243,-393,166,486,-83.55,131,260.5,91.71,6.76
61.57,4.46,3.7,3.3,68.53,1635,3.52,1.44,2.03,10.15,1.03,14,623,3.08,1290,286,870,310,242,-397,159,478,-85.91,136,262.5,91.89,6.42
62.38,3.96,2.88,3.35,66.2,1575,3.12,0.38,2.01,10.24,1.03,9.75,632,3.16,1298,279,910,326,262,-408,155,500,-88.51,154,251.67,91.22,7.42
62.89,3.14,2.81,3.35,67.15,1586.67,4.22,0.93,2.03,10.15,1.02,9.79,626,3.16,1304,284,891,318,248,-399,157,484,-89.08,141,248,90.47,7.84
62.3,2.92,3.05,3.94,69.37,1808.33,4.13,5.94,2.14,10.38,1.04,9.79,613,3.14,1305,278,874,319,226,-395,153,464,-88.93,122,244.17,90.71,7.6
62.6,3.33,3,3.35,70.36,1755,0.78,6.52,1.23,10.02,1.04,12.08,570,2.86,1296,313,843,302,218,-382,170,457,-85.55,119,246.75,92.13,6.27
62.42,3.86,2.93,3.24,65.88,1553.33,2.24,0.83,2.08,10.07,1.02,10.42,625,3.17,1302,286,885,324,248,-399,155,495,-89.59,153,248.17,90.93,7.4
